model,regime,country,feature_set,best_val_qlike,seq_len,param_lr,param_dropout,param_hidden_dim,param_num_filters,param_kernel_size,param_num_layers
1DCNN,normal,US,core,0.5320184012745867,30,0.008706020878304856,0.2497327922401265,32,64.0,5,
TCN,normal,US,core,0.5381654261362434,60,0.0026070247583707684,0.006175348288740734,32,,5,2.0
1DCNN,normal,US,momentum,0.5304389726112385,30,0.008706020878304856,0.2497327922401265,32,64.0,5,
TCN,normal,US,momentum,0.536607639299761,60,0.0026070247583707684,0.006175348288740734,32,,5,2.0
1DCNN,normal,US,extended,0.5380238070936486,30,0.007902619549708232,0.2896896099223678,32,32.0,7,
TCN,normal,US,extended,0.5449700881053906,60,0.0021137059440645744,0.09351332282682329,64,,3,4.0
1DCNN,normal,KR,core,0.47676856629167985,30,0.00019135880487692312,0.2406590942262119,64,128.0,7,
TCN,normal,KR,core,0.48160590118206503,60,0.0021137059440645744,0.09351332282682329,64,,3,4.0
1DCNN,normal,KR,momentum,0.47549419915896424,30,0.0003839629299804173,0.1099085529881075,64,64.0,3,
TCN,normal,KR,momentum,0.4796003002895222,60,0.0017643967683381545,0.09926940745579475,128,,3,4.0
1DCNN,normal,KR,extended,0.4781630045946619,30,0.0005611516415334506,0.2852142919229748,32,128.0,5,
TCN,normal,KR,extended,0.4855427511908435,60,0.0021137059440645744,0.09351332282682329,64,,3,4.0
1DCNN,normal,JP,core,0.7879881504583068,30,0.00014063366777718192,0.10753971856328177,64,32.0,5,
TCN,normal,JP,core,0.7931165344574872,60,0.0017643967683381545,0.09926940745579475,128,,3,4.0
1DCNN,normal,JP,momentum,0.7845529493163613,30,0.0005611516415334506,0.2852142919229748,32,128.0,5,
TCN,normal,JP,momentum,0.7913249864055951,60,0.0017643967683381545,0.09926940745579475,128,,3,4.0
1DCNN,normal,JP,extended,0.7863680642952058,30,0.008706020878304856,0.2497327922401265,32,64.0,5,
TCN,normal,JP,extended,0.7939259709741232,60,0.0017643967683381545,0.09926940745579475,128,,3,4.0
1DCNN,911,US,core,0.8829326033592224,30,0.007902619549708232,0.2896896099223678,32,32.0,7,
TCN,911,US,core,0.8889304995536804,60,0.0005611516415334506,0.2852142919229748,32,,3,2.0
1DCNN,911,US,momentum,0.888302743434906,30,0.00016435497475111326,0.009428755706020276,32,32.0,3,
TCN,911,US,momentum,0.8892198204994202,60,0.0007309539835912913,0.08736874205941257,32,,3,3.0
1DCNN,911,US,extended,0.8886834383010864,30,0.0003839629299804173,0.1099085529881075,64,64.0,3,
TCN,911,US,extended,0.8886008262634277,60,0.00010257563974185662,0.24463842853645024,128,,5,2.0
1DCNN,911,KR,core,1.0786426067352295,30,0.0069782812651260325,0.02654775061557585,128,128.0,7,
TCN,911,KR,core,1.0833771228790283,60,0.0015696396388661157,0.27656227050693505,64,,5,2.0
1DCNN,911,KR,momentum,1.082507848739624,30,0.00014063366777718192,0.10753971856328177,64,32.0,5,
TCN,911,KR,momentum,1.0810842514038086,60,0.0021137059440645744,0.09351332282682329,64,,3,4.0
1DCNN,911,KR,extended,1.083388328552246,30,0.007902619549708232,0.2896896099223678,32,32.0,7,
TCN,911,KR,extended,1.0837461948394775,60,0.0007309539835912913,0.08736874205941257,32,,3,3.0
1DCNN,911,JP,core,1.180765986442566,30,0.0005611516415334506,0.2852142919229748,32,128.0,5,
TCN,911,JP,core,1.1802232265472412,60,0.0017643967683381545,0.09926940745579475,128,,3,4.0
1DCNN,911,JP,momentum,1.1793391704559326,30,0.008706020878304856,0.2497327922401265,32,64.0,5,
TCN,911,JP,momentum,1.1799402236938477,60,0.0017643967683381545,0.09926940745579475,128,,3,4.0
1DCNN,911,JP,extended,1.1815282106399536,30,0.00016435497475111326,0.009428755706020276,32,32.0,3,
TCN,911,JP,extended,1.1798338890075684,60,0.0005611516415334506,0.2852142919229748,32,,3,2.0
1DCNN,gfc,US,core,0.4035933895111084,30,0.0069782812651260325,0.02654775061557585,128,128.0,7,
TCN,gfc,US,core,0.41703532457351683,60,0.0005170191786366995,0.08428035290621423,128,,2,2.0
1DCNN,gfc,US,momentum,0.4027952485084534,30,0.007902619549708232,0.2896896099223678,32,32.0,7,
TCN,gfc,US,momentum,0.41553039121627805,60,0.0017643967683381545,0.09926940745579475,128,,3,4.0
1DCNN,gfc,US,extended,0.4035248436927795,30,0.0059487468132197715,0.14166447754858477,128,64.0,3,
TCN,gfc,US,extended,0.4180148706436157,60,0.0005170191786366995,0.08428035290621423,128,,2,2.0
1DCNN,gfc,KR,core,0.6627836681087973,30,0.0005611516415334506,0.2852142919229748,32,128.0,5,
TCN,gfc,KR,core,0.6682542847235676,60,0.0021137059440645744,0.09351332282682329,64,,3,4.0
1DCNN,gfc,KR,momentum,0.6597120860810222,30,0.007902619549708232,0.2896896099223678,32,32.0,7,
TCN,gfc,KR,momentum,0.6590984861860391,60,0.0017643967683381545,0.09926940745579475,128,,3,4.0
1DCNN,gfc,KR,extended,0.6655277320247913,30,0.0069782812651260325,0.02654775061557585,128,128.0,7,
TCN,gfc,KR,extended,0.6665350553477823,60,0.0015696396388661157,0.27656227050693505,64,,5,2.0
1DCNN,gfc,JP,core,0.631331620662193,30,0.0069782812651260325,0.02654775061557585,128,128.0,7,
TCN,gfc,JP,core,0.6338284757079148,60,0.0021137059440645744,0.09351332282682329,64,,3,4.0
1DCNN,gfc,JP,momentum,0.632113105882474,30,0.007902619549708232,0.2896896099223678,32,32.0,7,
TCN,gfc,JP,momentum,0.633172867259359,60,0.0005170191786366995,0.08428035290621423,128,,2,2.0
1DCNN,gfc,JP,extended,0.6350809250905262,30,0.0069782812651260325,0.02654775061557585,128,128.0,7,
TCN,gfc,JP,extended,0.6457584204712534,60,0.0005170191786366995,0.08428035290621423,128,,2,2.0
1DCNN,covid,US,core,0.3502550694730974,30,0.0069782812651260325,0.02654775061557585,128,128.0,7,
TCN,covid,US,core,0.3589061451174559,60,0.0017643967683381545,0.09926940745579475,128,,3,4.0
1DCNN,covid,US,momentum,0.3497904040400059,30,0.008706020878304856,0.2497327922401265,32,64.0,5,
TCN,covid,US,momentum,0.35611225922982537,60,0.0026070247583707684,0.006175348288740734,32,,5,2.0
1DCNN,covid,US,extended,0.35025264905585396,30,0.00019135880487692312,0.2406590942262119,64,128.0,7,
TCN,covid,US,extended,0.3557951071509911,60,0.0026070247583707684,0.006175348288740734,32,,5,2.0
1DCNN,covid,KR,core,0.4784427436648822,30,0.0069782812651260325,0.02654775061557585,128,128.0,7,
TCN,covid,KR,core,0.4820143443639161,60,0.0004066563313514797,0.029301634201915158,32,,3,3.0
1DCNN,covid,KR,momentum,0.4785695442410766,30,0.0069782812651260325,0.02654775061557585,128,128.0,7,
TCN,covid,KR,momentum,0.4814461826301012,60,0.0026070247583707684,0.006175348288740734,32,,5,2.0
1DCNN,covid,KR,extended,0.47934235559135185,30,0.008706020878304856,0.2497327922401265,32,64.0,5,
TCN,covid,KR,extended,0.4829061246309124,60,0.0017643967683381545,0.09926940745579475,128,,3,4.0
1DCNN,covid,JP,core,0.3240520053175317,30,0.008706020878304856,0.2497327922401265,32,64.0,5,
TCN,covid,JP,core,0.3305888226052292,60,0.0017643967683381545,0.09926940745579475,128,,3,4.0
1DCNN,covid,JP,momentum,0.3240751984740506,30,0.007902619549708232,0.2896896099223678,32,32.0,7,
TCN,covid,JP,momentum,0.32937803808130134,60,0.0026070247583707684,0.006175348288740734,32,,5,2.0
1DCNN,covid,JP,extended,0.32738245053201165,30,0.00019135880487692312,0.2406590942262119,64,128.0,7,
TCN,covid,JP,extended,0.33072177765249205,60,0.0017643967683381545,0.09926940745579475,128,,3,4.0
